Item,Frequency,Relative frequency
"pointeál",19,0.55300
"aingiallta",19,0.55300
"poncán",19,0.55300
"cleamhnai",19,0.55300
"eolaíocht",19,0.55300
"prionsabálta",19,0.55300
"príobháidi",19,0.55300
"borrach",19,0.55300
"páiri",19,0.55300
"adhfhuafar",19,0.55300
"roghnóireach",19,0.55300
"fhiliún",19,0.55300
"bricíneach",19,0.55300
"Seacaibíteach",19,0.55300
"scríobach",19,0.55300
"seachain",19,0.55300
"seanmóiri",19,0.55300
"sheapán",19,0.55300
"fraochmhar",19,0.55300
"gramadúil",19,0.55300
"sobhriste",19,0.55300
"soilíosach",19,0.55300
"sramach",19,0.55300
"soiprigh",19,0.55300
"buanaigh",19,0.55300
"comple",19,0.55300
"sreangach",19,0.55300
"stáidiúil",19,0.55300
"stoll",19,0.55300
"gairm",19,0.55300
"cortha",19,0.55300
"taithíoch",19,0.55300
"crea",19,0.55300
"creapal",19,0.55300
"glasuaine",19,0.55300
"creimneach",19,0.55300
"tsealbhai",19,0.55300
"tugh",19,0.55300
"tuile",19,0.55300
"tuilleamaíoch",19,0.55300
"gróig",19,0.55300
"grusach",19,0.55300
"caithiseach",19,0.55300
"éadálach",19,0.55300
"éaganta",19,0.55300
"oighrigh",19,0.55300
"idir-rann",19,0.55300
"óraigh",19,0.55300
"úafás",19,0.55300
"síothlaigh",19,0.55300
"imthoisceach",19,0.55300
"barrchaolaigh",19,0.55300
"laochta",19,0.55300
"ceanad",19,0.55300
"leathanucht",19,0.55300
"leathscoite",19,0.55300
"acadamh",19,0.55300
"liop",19,0.55300
"cearnaigh",19,0.55300
"aicme",19,0.55300
"hins",19,0.55300
"dhúbal",19,0.55300
"do-shárai",19,0.55300
"éignigh",19,0.55300
"ana-shás",19,0.55300
"doléite",19,0.55300
"moimin",19,0.55300
"tarraic",19,0.55300
"iarratach",19,0.55300
"míolach",19,0.55300
"samhlaigh",19,0.55300
"mórchanál",19,0.55300
"chraiceáil",19,0.55300
"n-aithean",19,0.55300
"éisealach",19,0.55300
"duibheagánach",19,0.55300
"duáilceach",18,0.52389
"neamhnigh",18,0.52389
"nuadhéan",18,0.52389
"nuashaolai",18,0.52389
"díoltasach",18,0.52389
"paradacs",18,0.52389
"bodhraigh",18,0.52389
"pianúil",18,0.52389
"scamhóg",18,0.52389
"poimpéiseach",18,0.52389
"préa",18,0.52389
"fadaraíonach",18,0.52389
"pápach",18,0.52389
"rachtúil",18,0.52389
"cláraitheach",18,0.52389
"fantasaíoch",18,0.52389
"rollach",18,0.52389
"glasliath",18,0.52389
"feoite",18,0.52389
"fheis",18,0.52389
"fhrioch",18,0.52389
"scaollmhar",18,0.52389
"formad",18,0.52389
"sláinteach",18,0.52389
"slítheánta",18,0.52389
"fuafar",18,0.52389
"smuigleáil",18,0.52389
"fuaimintiúil",18,0.52389
"as",18,0.52389
"soiléirigh",18,0.52389
"soineantach",18,0.52389
"fáthach",18,0.52389
"comhshuigh",18,0.52389
"spreagth",18,0.52389
"spásáil",18,0.52389
"suanach",18,0.52389
"síbhial",18,0.52389
"gcontae",18,0.52389
"tacaí",18,0.52389
"bách",18,0.52389
"gearranálach",18,0.52389
"cothrom",18,0.52389
"ghlan",18,0.52389
"goimhiúil",18,0.52389
"atóg",18,0.52389
"támhach",18,0.52389
"caillteach",18,0.52389
"á",18,0.52389
"ábháil",18,0.52389
"áibhéalta",18,0.52389
"himtharraing",18,0.52389
"hoiliúnai",18,0.52389
"canónta",18,0.52389
"Modhach",18,0.52389
"inlean",18,0.52389
"sóch",18,0.52389
"inphósta",18,0.52389
"carm",18,0.52389
"Cistéirseach",18,0.52389
"heicseagán",18,0.52389
"laoch",18,0.52389
"neamh-inléi",18,0.52389
"ligh",18,0.52389
"dearúd",18,0.52389
"lipéadai",18,0.52389
"láin",18,0.52389
"lánmhar",18,0.52389
"maidéar",18,0.52389
"meabhairshláin",18,0.52389
"chinnteoireach",18,0.52389
"docheansaithe",18,0.52389
"mi",18,0.52389
"comhchruinnigh",18,0.52389
"choip",18,0.52389
"doshann",18,0.52389
"driog",18,0.52389
"nai",18,0.52389
"déach",17,0.49479
"nuabhain",17,0.49479
"dígeanta",17,0.49479
"antoisceach",17,0.49479
"nósúil",17,0.49479
"thean",17,0.49479
"olach",17,0.49479
"optach",17,0.49479
"pacáistíoch",17,0.49479
"acu",17,0.49479
"ear",17,0.49479
"pisreog",17,0.49479
"portaingéal",17,0.49479
"faoil",17,0.49479
"brandáil",17,0.49479
"ráidh",17,0.49479
"cnuas",17,0.49479
"sannt",17,0.49479
"fiarthrasna",17,0.49479
"scrobh",17,0.49479
"shimpli",17,0.49479
"frasaíoch",17,0.49479
"sonda",17,0.49479
"stiall",17,0.49479
"gaedheal",17,0.49479
"suibiach",17,0.49479
"séantach",17,0.49479
"teagascach",17,0.49479
"stuach",17,0.49479
"thimpeall",17,0.49479
"bíog",17,0.49479
"croith",17,0.49479
"cruiteach",17,0.49479
"af",17,0.49479
"aithin",17,0.49479
"tóraigh",17,0.49479
"críostai",17,0.49479
"géimiúil",17,0.49479
"haerlín",17,0.49479
"hordai",17,0.49479
"haerthonn",17,0.49479
"cáith",17,0.49479
"céadchath",17,0.49479
"ingneach",17,0.49479
"inleighis",17,0.49479
"gath",17,0.49479
"cúthal",17,0.49479
"iún",17,0.49479
"laf",17,0.49479
"bascai",17,0.49479
"leabharlios",17,0.49479
"amanathar",17,0.49479
"liathbhuí",17,0.49479
"dearscnaitheach",17,0.49479
"loc",17,0.49479
"gcoitian",17,0.49479
"línigh",17,0.49479
"líonrai",17,0.49479
"ceoldrámaíoch",17,0.49479
"aithríoch",17,0.49479
"cuimhne",17,0.49479
"an",17,0.49479
"cheartingear",17,0.49479
"diúscair",17,0.49479
"éigiallta",17,0.49479
"bheagnach",17,0.49479
"éidigh",17,0.49479
"chláruigh",17,0.49479
"dobhriste",17,0.49479
"misean",17,0.49479
"chomhcheangail",17,0.49479
"mosach",17,0.49479
"doscaoilte",17,0.49479
"anailísigh",17,0.49479
"anghrách",17,0.49479
"nascai",17,0.49479
"ndaingni",17,0.49479
"acrach",16,0.46568
"chuidfilíoch",16,0.46568
"chuileach",16,0.46568
"neamhshrianta",16,0.46568
"neamhthiún",16,0.46568
"aimsiú",16,0.46568
"díogras",16,0.46568
"tharraing",16,0.46568
"bladrach",16,0.46568
"pairlimin",16,0.46568
"ciotógach",16,0.46568
"phríosúnai",16,0.46568
"gif",16,0.46568
"ciúnaigh",16,0.46568
"púdraigh",16,0.46568
"eiliúr",16,0.46568
"eisiat",16,0.46568
"ainmheasartha",16,0.46568
"páistelárn",16,0.46568
"cloigíneach",16,0.46568
"bparáis",16,0.46568
"faisnéiseach",16,0.46568
"adhmad",16,0.46568
"cnagaosta",16,0.46568
"feiriglinn",16,0.46568
"réadúlach",16,0.46568
"ríomhairi",16,0.46568
"fhiosrui",16,0.46568
"fhuiris",16,0.46568
"saol",16,0.46568
"coillteach",16,0.46568
"fiarshúileach",16,0.46568
"bpéindlí",16,0.46568
"traseorp",16,0.46568
"cointinneach",16,0.46568
"searús",16,0.46568
"shóibhéad",16,0.46568
"siceolaíoch",16,0.46568
"comharsanúil",16,0.46568
"táscach",16,0.46568
"comhgar",16,0.46568
"fuaimnigh",16,0.46568
"comhshaolach",16,0.46568
"fáthchiallach",16,0.46568
"speiseal",16,0.46568
"astaróideach",16,0.46568
"fíneáil",16,0.46568
"fócas",16,0.46568
"fódhl",16,0.46568
"stopai",16,0.46568
"conláisteach",16,0.46568
"fól",16,0.46568
"conáil",16,0.46568
"gaibhni",16,0.46568
"gairmthreor",16,0.46568
"garach",16,0.46568
"corránach",16,0.46568
"sóúil",16,0.46568
"scáth",16,0.46568
"ghrai",16,0.46568
"tionsclach",16,0.46568
"gabhlógach",16,0.46568
"glantóireach",16,0.46568
"tocht",16,0.46568
"gleoiréiseach",16,0.46568
"seanchríonna",16,0.46568
"trilseach",16,0.46568
"cruach",16,0.46568
"gradam",16,0.46568
"caban",16,0.46568
"tuisleach",16,0.46568
"gás",16,0.46568
"folmhaigh",16,0.46568
"gaoiseach",16,0.46568
"cumh",16,0.46568
"úcaireach",16,0.46568
"imshruthai",16,0.46568
"inasbhain",16,0.46568
"ríog",16,0.46568
"indíol",16,0.46568
"círéibeach",16,0.46568
"caomhnóireach",16,0.46568
"inseolta",16,0.46568
"intoibhi",16,0.46568
"carad",16,0.46568
"cuachach",16,0.46568
"ioldai",16,0.46568
"barbarach",16,0.46568
"cúlaigh",16,0.46568
"ionduchtai",16,0.46568
"casaoideach",16,0.46568
"iontai",16,0.46568
"was",16,0.46568
"dea-phleanáil",16,0.46568
"leathfholai",16,0.46568
"beagmhaitheasach",16,0.46568
"lán-tsás",16,0.46568
"lán-eagrai",16,0.46568
"láraigh",16,0.46568
"amhrast",16,0.46568
"dhoshárai",16,0.46568
"lóisteáil",16,0.46568
"dhíolmhai",16,0.46568
"chainníocht",16,0.46568
"digi",16,0.46568
"éagruthach",16,0.46568
"aiféalach",16,0.46568
"cheangail",16,0.46568
"éan",16,0.46568
"diúg",16,0.46568
"albán",16,0.46568
"do-mhaite",16,0.46568
"choincheap",16,0.46568
"domhínithe",16,0.46568
"doréitithe",16,0.46568
"bhrac",16,0.46568
"doshamhlaithe",16,0.46568
"máithreánach",16,0.46568
"chothromai",16,0.46568
"chreim",16,0.46568
"ifreanda",16,0.46568
"n-each",16,0.46568
"naíonda",16,0.46568
"déadach",15,0.43658
"antaiseipteach",15,0.43658
"blaistigh",15,0.43658
"opt",15,0.43658
"ortaipéideach",15,0.43658
"osréal",15,0.43658
"comhdhlúthaigh",15,0.43658
"ostar",15,0.43658
"eacnamúil",15,0.43658
"aolmhar",15,0.43658
"claí",15,0.43658
"aondachtai",15,0.43658
"fad-téarm",15,0.43658
"borrtha",15,0.43658
"péac",15,0.43658
"péinteál",15,0.43658
"cnapach",15,0.43658
"ru",15,0.43658
"ríomhchuidi",15,0.43658
"codal",15,0.43658
"coigil",15,0.43658
"coigeartaigh",15,0.43658
"salaigh",15,0.43658
"samhaltach",15,0.43658
"coimrigh",15,0.43658
"coinbhinsiúnach",15,0.43658
"coincheap",15,0.43658
"sféarúil",15,0.43658
"shocrai",15,0.43658
"sies",15,0.43658
"fothainiúil",15,0.43658
"sleasach",15,0.43658
"slóchtach",15,0.43658
"arrachtach",15,0.43658
"comhfhiús",15,0.43658
"fuiris",15,0.43658
"arúil",15,0.43658
"spall",15,0.43658
"féinrialai",15,0.43658
"cabhair",15,0.43658
"gair",15,0.43658
"síochánaíoch",15,0.43658
"bustai",15,0.43658
"taiscéal",15,0.43658
"geireach",15,0.43658
"gharran",15,0.43658
"thriomai",15,0.43658
"consalach",15,0.43658
"tnúthánach",15,0.43658
"tromchos",15,0.43658
"aiteasach",15,0.43658
"crágach",15,0.43658
"túsphoin",15,0.43658
"h-iont",15,0.43658
"cuimil",15,0.43658
"callóideach",15,0.43658
"idéal",15,0.43658
"ilbheartach",15,0.43658
"cuntasach",15,0.43658
"inbhreathnaitheach",15,0.43658
"cásach",15,0.43658
"infhíorai",15,0.43658
"intleachtúil",15,0.43658
"ionsui",15,0.43658
"altaigh",15,0.43658
"laghdaitheach",15,0.43658
"lans",15,0.43658
"danmharg",15,0.43658
"leachtaigh",15,0.43658
"hionsui",15,0.43658
"liathdhearg",15,0.43658
"tachtai",15,0.43658
"albann",15,0.43658
"deisiú",15,0.43658
"lánaontai",15,0.43658
"lí-aistri",15,0.43658
"dhá-theang",15,0.43658
"maránta",15,0.43658
"húdarui",15,0.43658
"meathlaigh",15,0.43658
"dlí-eolai",15,0.43658
"chlaochlai",15,0.43658
"do-áirithe",15,0.43658
"éagsamhal",15,0.43658
"éiligh",15,0.43658
"bheir",15,0.43658
"chomhairli",15,0.43658
"domlasta",15,0.43658
"doscriosta",15,0.43658
"dreancaideach",15,0.43658
"mídhlisteanach",15,0.43658
"míll",15,0.43658
"mórscéal",15,0.43658
"naisiún",15,0.43658
"neamhshiméadrach",14,0.40747
"nuacháili",14,0.40747
"ciabhach",14,0.40747
"blais",14,0.40747
"díothach",14,0.40747
"ornáidigh",14,0.40747
"Cairmilíteach",14,0.40747
"phionn",14,0.40747
"adhain",14,0.40747
"pholann",14,0.40747
"thuat",14,0.40747
"crapai",14,0.40747
"eagnaí",14,0.40747
"eagraíocht",14,0.40747
"cistíoch",14,0.40747
"pla",14,0.40747
"platónach",14,0.40747
"eisc",14,0.40747
"promo",14,0.40747
"cliarlathach",14,0.40747
"cluinteach",14,0.40747
"cluin",14,0.40747
"aonta",14,0.40747
"rec",14,0.40747
"reigiún",14,0.40747
"riaghal",14,0.40747
"feadán",14,0.40747
"románs",14,0.40747
"fheann",14,0.40747
"ríúil",14,0.40747
"rógánta",14,0.40747
"rósta",14,0.40747
"briathrach",14,0.40747
"scabh",14,0.40747
"ainrialta",14,0.40747
"scalltach",14,0.40747
"shasanach",14,0.40747
"siams",14,0.40747
"ainspianta",14,0.40747
"freagra",14,0.40747
"sliabhraon",14,0.40747
"slí",14,0.40747
"smutach",14,0.40747
"comhghuaillíoch",14,0.40747
"spi",14,0.40747
"sréadai",14,0.40747
"stobarnáil",14,0.40747
"cornai",14,0.40747
"sásaigh",14,0.40747
"galan",14,0.40747
"síl",14,0.40747
"síscéal",14,0.40747
"aiste",14,0.40747
"gealán",14,0.40747
"athneartai",14,0.40747
"cromshlinneán",14,0.40747
"treascrach",14,0.40747
"tuarúil",14,0.40747
"grioll",14,0.40747
"gaidheal",14,0.40747
"téacs",14,0.40747
"críost",14,0.40747
"gíoscán",14,0.40747
"uraigh",14,0.40747
"hibrideach",14,0.40747
"éagaointeach",14,0.40747
"éagoitian",14,0.40747
"éilligh",14,0.40747
"uileláithreach",14,0.40747
"imlínigh",14,0.40747
"canál",14,0.40747
"cáblach",14,0.40747
"caoinfhulaing",14,0.40747
"infhill",14,0.40747
"caolaigh",14,0.40747
"ionfhabhtai",14,0.40747
"cúngaigeanta",14,0.40747
"cealaigh",14,0.40747
"leathn",14,0.40747
"deacr",14,0.40747
"liopasta",14,0.40747
"deasaigh",14,0.40747
"lorrai",14,0.40747
"luathaigh",14,0.40747
"mallintinneach",14,0.40747
"martraigh",14,0.40747
"diospóireach",14,0.40747
"meiricean",14,0.40747
"mionchúiseach",14,0.40747
"mionpháirti",14,0.40747
"éislinneach",14,0.40747
"bhreithni",14,0.40747
"móiréiseach",14,0.40747
"chréachtai",14,0.40747
"neamartach",13,0.37837
"anrai",13,0.37837
"neamhéili",13,0.37837
"déavón",13,0.37837
"ngníomhai",13,0.37837
"chóras",13,0.37837
"díchreidmheach",13,0.37837
"ciachánach",13,0.37837
"níisiún",13,0.37837
"ghroi",13,0.37837
"cineach",13,0.37837
"opposi",13,0.37837
"fuarbhrui",13,0.37837
"pese",13,0.37837
"snáitheach",13,0.37837
"phisreog",13,0.37837
"aerthonn",13,0.37837
"aolni",13,0.37837
"easurramach",13,0.37837
"priocai",13,0.37837
"protastún",13,0.37837
"péarl",13,0.37837
"píolótaíoch",13,0.37837
"píblín",13,0.37837
"ramallach",13,0.37837
"reachtaigh",13,0.37837
"bpéindli",13,0.37837
"fionlann",13,0.37837
"roc",13,0.37837
"cnag",13,0.37837
"feighlíoch",13,0.37837
"ráscán",13,0.37837
"réiteoireach",13,0.37837
"toirtéiseach",13,0.37837
"róphlódai",13,0.37837
"róstai",13,0.37837
"fhuarai",13,0.37837
"coilínigh",13,0.37837
"fidléireach",13,0.37837
"scannánai",13,0.37837
"filidheach",13,0.37837
"coinbhinsean",13,0.37837
"scrabhai",13,0.37837
"scríobhnóireach",13,0.37837
"ardcháili",13,0.37837
"seanchaíoch",13,0.37837
"folaitheach",13,0.37837
"sein",13,0.37837
"ainneonach",13,0.37837
"sibhial",13,0.37837
"smartáil",13,0.37837
"so-fheic",13,0.37837
"fuilchoscach",13,0.37837
"soi",13,0.37837
"soibealta",13,0.37837
"somheanmnach",13,0.37837
"solún",13,0.37837
"aslonnaigh",13,0.37837
"féarthail",13,0.37837
"féintreorai",13,0.37837
"féitheogach",13,0.37837
"srac",13,0.37837
"gabhlán",13,0.37837
"suiteáil",13,0.37837
"gcáin",13,0.37837
"ghnói",13,0.37837
"básmhar",13,0.37837
"threas",13,0.37837
"gabhlach",13,0.37837
"tionscnai",13,0.37837
"glasdonn",13,0.37837
"béimneach",13,0.37837
"criathraigh",13,0.37837
"gliúáil",13,0.37837
"búbónach",13,0.37837
"grai",13,0.37837
"téisiúil",13,0.37837
"títhíoch",13,0.37837
"uirísligh",13,0.37837
"haman",13,0.37837
"hintleacht",13,0.37837
"éagosúil",13,0.37837
"ha",13,0.37837
"cróilí",13,0.37837
"camóg",13,0.37837
"Antartach",13,0.37837
"imoibríoch",13,0.37837
"cuícháili",13,0.37837
"céadt",13,0.37837
"cu",13,0.37837
"inmhéan",13,0.37837
"insamhlai",13,0.37837
"intriail",13,0.37837
"cón",13,0.37837
"cónascach",13,0.37837
"carman",13,0.37837
"iompórtáil",13,0.37837
"gcaoin",13,0.37837
"ionchollai",13,0.37837
"alt",13,0.37837
"cathai",13,0.37837
"aibítreach",13,0.37837
"leitheoireach",13,0.37837
"litriú",13,0.37837
"bearnaigh",13,0.37837
"uamach",13,0.37837
"luifearnach",13,0.37837
"ceathairshleasach",13,0.37837
"dhar",13,0.37837
"beath",13,0.37837
"líneáil",13,0.37837
"éacht",13,0.37837
"dhor",13,0.37837
"madrúil",13,0.37837
"margáintíoch",13,0.37837
"diri",13,0.37837
"cheannródaíoch",13,0.37837
"meirceán",13,0.37837
"chinni",13,0.37837
"meiricéan",13,0.37837
"meitileach",13,0.37837
"mheisias",13,0.37837
"mhicreathonn",13,0.37837
"dochuimsithe",13,0.37837
"mionda",13,0.37837
"mionscéal",13,0.37837
"bhfiosrui",13,0.37837
"monarcach",13,0.37837
"mothaolach",13,0.37837
"bhrai",13,0.37837
"mustrach",13,0.37837
"mustar",13,0.37837
"iascúil",13,0.37837
"míchuíos",13,0.37837
"mínitheach",13,0.37837
"droimneach",13,0.37837
"drui",13,0.37837
"dtean",13,0.37837
"mórucht",13,0.37837
"órshnái",13,0.37837
"mótarchán",13,0.37837
"duaiseach",13,0.37837
"ndli",13,0.37837
"neamhbhríoch",12,0.34926
"noibri",12,0.34926
"antaibheathach",12,0.34926
"nua-phós",12,0.34926
"nuani",12,0.34926
"néaróg",12,0.34926
"bithiúnta",12,0.34926
"ghraf",12,0.34926
"olagónach",12,0.34926
"oíchí",12,0.34926
"phacáistíoch",12,0.34926
"pionn",12,0.34926
"clamprach",12,0.34926
"plán",12,0.34926
"plásánta",12,0.34926
"eiseachaid",12,0.34926
"priaclach",12,0.34926
"esta",12,0.34926
"profisiún",12,0.34926
"sceabh",12,0.34926
"cloíteach",12,0.34926
"cláruigh",12,0.34926
"fanaiceach",12,0.34926
"roth",12,0.34926
"cneadach",12,0.34926
"réchaite",12,0.34926
"breicneach",12,0.34926
"saoghal",12,0.34926
"saorghluaiseach",12,0.34926
"scamhai",12,0.34926
"scriosach",12,0.34926
"flap",12,0.34926
"scríbhneoir-each",12,0.34926
"scóp",12,0.34926
"scúi",12,0.34926
"scórál",12,0.34926
"coisci",12,0.34926
"seanchrainn",12,0.34926
"treas",12,0.34926
"seiftigh",12,0.34926
"separa",12,0.34926
"forlea",12,0.34926
"forleithead",12,0.34926
"sholad",12,0.34926
"shéid",12,0.34926
"fostaioch",12,0.34926
"ainscianta",12,0.34926
"frámai",12,0.34926
"smeartáil",12,0.34926
"snagach",12,0.34926
"artaireach",12,0.34926
"brú",12,0.34926
"spriocdá",12,0.34926
"spriocdhíri",12,0.34926
"spásúlach",12,0.34926
"stalc",12,0.34926
"conrai",12,0.34926
"stórchis",12,0.34926
"suaimhnigh",12,0.34926
"buiséadach",12,0.34926
"sáiteach",12,0.34926
"bundíorthai",12,0.34926
"gcuar",12,0.34926
"coscair",12,0.34926
"bánaí",12,0.34926
"Greagórach",12,0.34926
"teangaireach",12,0.34926
"teannta",12,0.34926
"teidealach",12,0.34926
"thiomáin",12,0.34926
"tibéad",12,0.34926
"tiomsaitheach",12,0.34926
"tochrais",12,0.34926
"tuathúil",12,0.34926
"tubaiste",12,0.34926
"caighdeán",12,0.34926
"cail",12,0.34926
"tíoróideach",12,0.34926
"guthach",12,0.34926
"uaisligh",12,0.34926
"caipitíoch",12,0.34926
"veirteabrach",12,0.34926
"hoibríoch",12,0.34926
"culaithir",12,0.34926
"íorón",12,0.34926
"curata",12,0.34926
"athbhunai",12,0.34926
"indéantach",12,0.34926
"innealta",12,0.34926
"ungár",12,0.34926
"iomarcaioch",12,0.34926
"iongant",12,0.34926
"ionnach",12,0.34926
"iontráil",12,0.34926
"jung",12,0.34926
"bas",12,0.34926
"lannach",12,0.34926
"laon",12,0.34926
"leagai",12,0.34926
"ábhailleach",12,0.34926
"leathi",12,0.34926
"leathrach",12,0.34926
"deannachúil",12,0.34926
"despi",12,0.34926
"aicmigh",12,0.34926
"ceathrúnach",12,0.34926
"léim",12,0.34926
"ás",12,0.34926
"líoch",12,0.34926
"macall",12,0.34926
"dhí",12,0.34926
"diongbháilteach",12,0.34926
"chiorrai",12,0.34926
"bhealai",12,0.34926
"chleachtai",12,0.34926
"do-thuig",12,0.34926
"mhogall",12,0.34926
"dobhréagnaithe",12,0.34926
"dochm",12,0.34926
"dochosan",12,0.34926
"miltean",12,0.34926
"minu",12,0.34926
"mionaigh",12,0.34926
"dogmach",12,0.34926
"íoch",12,0.34926
"chomharsan",12,0.34926
"moiglí",12,0.34926
"íospart",12,0.34926
"mursanta",12,0.34926
"chomhrádai",12,0.34926
"mán",12,0.34926
"méadarshlai",12,0.34926
"dreoigh",12,0.34926
"chontae",12,0.34926
"drochmheast",12,0.34926
"mórthreoirlín",12,0.34926
"duan",12,0.34926
"duthain",12,0.34926
"neamh-mheisciúil",11,0.32016
"dá-theang",11,0.32016
"neamhluai",11,0.32016
"déabhlóidi",11,0.32016
"neamhthuairimeach",11,0.32016
"débhlaosc",11,0.32016
"bioranta",11,0.32016
"nuaidheach",11,0.32016
"dílárnai",11,0.32016
"díniteach",11,0.32016
"cifleog",11,0.32016
"oifig",11,0.32016
"cimi",11,0.32016
"oilbhéasach",11,0.32016
"antlásach",11,0.32016
"oirfideach",11,0.32016
"oll-ardai",11,0.32016
"oscartha",11,0.32016
"thoirmisc",11,0.32016
"pairti",11,0.32016
"paisiún",11,0.32016
"peinteagán",11,0.32016
"peti",11,0.32016
"phacais",11,0.32016
"phiún",11,0.32016
"phlán",11,0.32016
"eacnam-aíoch",11,0.32016
"phó",11,0.32016
"citreach",11,0.32016
"easnach",11,0.32016
"claoninsin",11,0.32016
"eisimirceach",11,0.32016
"bolgshúileach",11,0.32016
"príomhai",11,0.32016
"fadharcánach",11,0.32016
"faig",11,0.32016
"púdráil",11,0.32016
"faillitheach",11,0.32016
"rathúlach",11,0.32016
"feachtasaíoch",11,0.32016
"fealsúnai",11,0.32016
"clúmhillteach",11,0.32016
"aontacht",11,0.32016
"bratai",11,0.32016
"feilmeanta",11,0.32016
"réamach",11,0.32016
"cnáimhseach",11,0.32016
"réasun",11,0.32016
"breallach",11,0.32016
"breathnaigh",11,0.32016
"rómánsúil",11,0.32016
"rósach",11,0.32016
"aosach",11,0.32016
"sannai",11,0.32016
"fhíoras",11,0.32016
"fillsléibh",11,0.32016
"ainéistéiseach",11,0.32016
"fiontr",11,0.32016
"coinlíoch",11,0.32016
"coipeach",11,0.32016
"scuain",11,0.32016
"scéi",11,0.32016
"foirmeáil",11,0.32016
"brod",11,0.32016
"forrán",11,0.32016
"bruth",11,0.32016
"siúcrúil",11,0.32016
"sleamchúiseach",11,0.32016
"frithbheathach",11,0.32016
"sléacht",11,0.32016
"airgead",11,0.32016
"fuaimneach",11,0.32016
"fuinneamh",11,0.32016
"sochomhairleach",11,0.32016
"comhleacai",11,0.32016
"spadhrúil",11,0.32016
"speisíal",11,0.32016
"fíréantach",11,0.32016
"stoithneach",11,0.32016
"conláis",11,0.32016
"fós",11,0.32016
"gairéad",11,0.32016
"súiteach",11,0.32016
"gcuileach",11,0.32016
"gcúlchis",11,0.32016
"taisci",11,0.32016
"taispeáin",11,0.32016
"talamhiata",11,0.32016
"tamhn",11,0.32016
"talmhaigh",11,0.32016
"geimhleach",11,0.32016
"tarnoch",11,0.32016
"craiceál",11,0.32016
"teochreasach",11,0.32016
"cranda",11,0.32016
"thúsphoin",11,0.32016
"béarlai",11,0.32016
"glanoscartha",11,0.32016
"toilmhian",11,0.32016
"toisi",11,0.32016
"trasatlant",11,0.32016
"cromógach",11,0.32016
"gníomhairi",11,0.32016
"cruinneachán",11,0.32016
"trídhath",11,0.32016
"tríchos",11,0.32016
"griothal",11,0.32016
"tuilteach",11,0.32016
"tuisceann",11,0.32016
"gós",11,0.32016
"uilefheasach",11,0.32016
"urnaitheach",11,0.32016
"cui",11,0.32016
"hoscailteach",11,0.32016
"háir",11,0.32016
"baictéarach",11,0.32016
"háíri",11,0.32016
"iarth",11,0.32016
"ibéar",11,0.32016
"ómrach",11,0.32016
"óráideach",11,0.32016
"údarás",11,0.32016
"cuntúr",11,0.32016
"iltréitheach",11,0.32016
"immedia",11,0.32016
"inchaite",11,0.32016
"inchloiste",11,0.32016
"inchreid",11,0.32016
"céatadán",11,0.32016
"céastóireach",11,0.32016
"inmhaíte",11,0.32016
"inláimhsi",11,0.32016
"allt",11,0.32016
"alp",11,0.32016
"heachtrai",11,0.32016
"iomasach",11,0.32016
"cúinneach",11,0.32016
"cúi",11,0.32016
"iompair",11,0.32016
"cartai",11,0.32016
"urscaoil",11,0.32016
"agóidi",11,0.32016
"aibigh",11,0.32016
"iontaisigh",11,0.32016
"cathach",11,0.32016
"daibhir",11,0.32016
"aibéil",11,0.32016
"leabaigh",11,0.32016
"batráil",11,0.32016
"ceannaíoch",11,0.32016
"leathleái",11,0.32016
"ceapáiri",11,0.32016
"deba",11,0.32016
"deirceach",11,0.32016
"lágh",11,0.32016
"láimhsigh",11,0.32016
"ceathairchosach",11,0.32016
"Meitidisteach",11,0.32016
"léinn-lárn",11,0.32016
"léirscaoil",11,0.32016
"dhioscúrs",11,0.32016
"dhronuilleog",11,0.32016
"éadlúi",11,0.32016
"diamhasl",11,0.32016
"meabhlach",11,0.32016
"dioscúrs",11,0.32016
"bhagarth",11,0.32016
"meatach",11,0.32016
"meánrá",11,0.32016
"chisti",11,0.32016
"bhasc",11,0.32016
"mhaighdean",11,0.32016
"mhodhnai",11,0.32016
"mhíbhuntais",11,0.32016
"mhíostrai",11,0.32016
"domhandai",11,0.32016
"ailléirgeach",11,0.32016
"dosach",11,0.32016
"dosmachtaithe",11,0.32016
"míchompórd",11,0.32016
"mínormálta",11,0.32016
"dtreallchogai",11,0.32016
"aimhrialta",11,0.32016
"duilleog",11,0.32016
"chruinneog",11,0.32016
"bhásai",11,0.32016
"neamhbhearnai",10,0.29105
"neamhcháili",10,0.29105
"neamhréireach",10,0.29105
"ngarran",10,0.29105
"déirceach",10,0.29105
"chóineasai",10,0.29105
"dí",10,0.29105
"nua-aimsear",10,0.29105
"díblí",10,0.29105
"nuachruthai",10,0.29105
"néaltach",10,0.29105
"ciapai",10,0.29105
"cin",10,0.29105
"orláis",10,0.29105
"dóir",10,0.29105
"dúbáil",10,0.29105
"sneachtúil",10,0.29105
"phas",10,0.29105
"blocáil",10,0.29105
"phrotastún",10,0.29105
"earót",10,0.29105
"boladh",10,0.29105
"eolasach",10,0.29105
"borr",10,0.29105
"príos",10,0.29105
"páircíneach",10,0.29105
"péindli",10,0.29105
"faicheall",10,0.29105
"faill",10,0.29105
"bportaingéal",10,0.29105
"reamhráidh",10,0.29105
"fallóp",10,0.29105
"regat",10,0.29105
