"corpus","gaeilge2"
"subcorpus","-"
"thabhar",5,0.14553
"thab-",5,0.14553
"thabharthas",5,0.14553
"thairgsint",5,0.14553
"thairbe",5,0.14553
"cailiúint",5,0.14553
"Maoilmheana",5,0.14553
"Maoilios",5,0.14553
"thaiscidh",5,0.14553
"thairngreachtaí",5,0.14553
"thaispeánanns",5,0.14553
"thaiseachas",5,0.14553
"cailífeachta",5,0.14553
"cailéideascóp",5,0.14553
"thaobhdhoras",5,0.14553
"thangadar",5,0.14553
"tharlaíonn-",5,0.14553
"tharlaíonn--",5,0.14553
"caimileon",5,0.14553
"cailéar",5,0.14553
"tharraingís",5,0.14553
"tharraingeadar",5,0.14553
"thathaint",5,0.14553
"thartu",5,0.14553
"cainnteoirí",5,0.14553
"cainniúr",5,0.14553
"theangaigh",5,0.14553
"theana",5,0.14553
"theangeolaí",5,0.14553
"theas-taigh",5,0.14553
"theangaí",5,0.14553
"caint-",5,0.14553
"Maolallaigh",5,0.14553
"Maoladha",5,0.14553
"Cantor",5,0.14553
"theidlíochtaí",5,0.14553
"caipitlíochas",5,0.14553
"Maoldhomhnaigh",5,0.14553
"thill",5,0.14553
"thiarnúlacht",5,0.14553
"theomheasartha",5,0.14553
"Maolchéadair",5,0.14553
"thionnsgain",5,0.14553
"thiomsachán",5,0.14553
"cairistíona",5,0.14553
"cairdiaiche",5,0.14553
"thionóntachtaí",5,0.14553
"thionscamh",5,0.14553
"thobalachain",5,0.14553
"thitis",5,0.14553
"cairéiseach",5,0.14553
"Maolmuire",5,0.14553
"Dubhcrónaigh",5,0.14553
"thoisíodar",5,0.14553
"thogaint",5,0.14553
"thou",5,0.14553
"caisíní",5,0.14553
"threimhse",5,0.14553
"threig",5,0.14553
"threatened",5,0.14553
"threallchogaí",5,0.14553
"thráigheanna",5,0.14553
"thráchtaí",5,0.14553
"thrédhearcacht",5,0.14553
"caiticeasmaic",5,0.14553
"Dubois",5,0.14553
"Beesley",5,0.14553
"Bees",5,0.14553
"Beechers",5,0.14553
"Bedroom",5,0.14553
"thríot",5,0.14553
"thuamba",5,0.14553
"thríos",5,0.14553
"calbhaire",5,0.14553
"calbhachas",5,0.14553
"caitilicigh",5,0.14553
"thuimidín",5,0.14553
"thuillis",5,0.14553
"thánagsa",5,0.14553
"Marbhghin",5,0.14553
"Marais",5,0.14553
"thárlós",5,0.14553
"thárlaigh",5,0.14553
"théadaibh",5,0.14553
"cambridgeshire",5,0.14553
"camastaíle",5,0.14553
"thógaibh",5,0.14553
"thógraí",5,0.14553
"théir",5,0.14553
"camanachd",5,0.14553
"thógáíl",5,0.14553
"ti",5,0.14553
"Marfan",5,0.14553
"ticéidi",5,0.14553
"ticead",5,0.14553
"canad",5,0.14553
"Mare",5,0.14553
"Dufferin",5,0.14553
"Duc",5,0.14553
"tim",5,0.14553
"candid",5,0.14553
"timpire",5,0.14553
"Marial",5,0.14553
"tint",5,0.14553
"tinla",5,0.14553
"tiocfadsa",5,0.14553
"tiom",5,0.14553
"tiníl",5,0.14553
"tiomantacht",5,0.14553
"canvasáil",5,0.14553
"cantúin",5,0.14553
"cantaireachtaí",5,0.14553
"Marietta",5,0.14553
"Margot",5,0.14553
"canálacha",5,0.14553
"tions-cnamh",5,0.14553
"caochfhrancach",5,0.14553
"Maritain",5,0.14553
"tiorm",5,0.14553
"tionóntaigh",5,0.14553
"Markham",5,0.14553
"caoidh",5,0.14553
"caoindúthracht",5,0.14553
"Markiewicz",5,0.14553
"Markets",5,0.14553
"Duibhis",5,0.14553
"Dughaill",5,0.14553
"Caoinleáin",5,0.14553
"tlás",5,0.14553
"tobh-",5,0.14553
"caolbhaí",5,0.14553
"caolaigeantacht",5,0.14553
"todh-chaí",5,0.14553
"toghchan",5,0.14553
"caoraigh",5,0.14553
"caomhúint",5,0.14553
"caomhnóireachta",5,0.14553
"Marr",5,0.14553
"toghdóirí",5,0.14553
"toghcháín",5,0.14553
"toichín",5,0.14553
"togs",5,0.14553
"capacities",5,0.14553
"toilm",5,0.14553
"captain",5,0.14553
"caothúlacht",5,0.14553
"toireachtas",5,0.14553
"carachtaeirí",5,0.14553
"toirnéis",5,0.14553
"caraictéir",5,0.14553
"caractair",5,0.14553
"caracalla",5,0.14553
"caothúla",5,0.14553
"Marquez",5,0.14553
"tollaire",5,0.14553
"tol",5,0.14553
"tomadóirí",5,0.14553
"tollamh",5,0.14553
"carda",5,0.14553
"carcar",5,0.14553
"carcaire",5,0.14553
"carbadóirí",5,0.14553
"tomhaltóireachta",5,0.14553
"topos",5,0.14553
"topographia",5,0.14553
"tonnán",5,0.14553
"cargo",5,0.14553
"Marussya",5,0.14553
"tormach",5,0.14553
"torcán",5,0.14553
"torraimh",5,0.14553
"tornap",5,0.14553
"carrachán",5,0.14553
"tortha",5,0.14553
"carranita",5,0.14553
"Massoud",5,0.14553
"Masson",5,0.14553
"tothlaigh",5,0.14553
"tosuighe",5,0.14553
"tosser",5,0.14553
"Math",5,0.14553
"Material",5,0.14553
"Dunadd",5,0.14553
"Dump",5,0.14553
"Duisburg",5,0.14553
"Capo",5,0.14553
"Behaviour",5,0.14553
"Bedlam",5,0.14553
"traenalaí",5,0.14553
"cartúir",5,0.14553
"traigh",5,0.14553
"traidisúin",5,0.14553
"carán",5,0.14553
"carved",5,0.14553
"Mathies",5,0.14553
"trang",5,0.14553
"transition",5,0.14553
"casabianca",5,0.14553
"trapaí",5,0.14553
"trasfhreagróirí",5,0.14553
"casca",5,0.14553
"Maths",5,0.14553
"Mathias",5,0.14553
"trasnáisiúnta",5,0.14553
"treabhach",5,0.14553
"traveller",5,0.14553
"casts",5,0.14553
"treaspac",5,0.14553
"treasn",5,0.14553
"trean",5,0.14553
"treighid",5,0.14553
"treoireolas",5,0.14553
"treibheachas",5,0.14553
"catechism",5,0.14553
"Dunlevy",5,0.14553
"Dungannon",5,0.14553
"treáinneach",5,0.14553
"cathal",5,0.14553
"triant",5,0.14553
"trichinella",5,0.14553
"trilliún",5,0.14553
"cathfach",5,0.14553
"catharsis",5,0.14553
"catering",5,0.14553
"triochad",5,0.14553
"triomaitheoir",5,0.14553
"cats",5,0.14553
"triple",5,0.14553
"triosc",5,0.14553
"ccreideamh",5,0.14553
"Dunsany",5,0.14553
"Carcanet",5,0.14553
"trois",5,0.14553
"ceachtair",5,0.14553
"Mayes",5,0.14553
"tromlacht",5,0.14553
"trong",5,0.14553
"trombón",5,0.14553
"trousers",5,0.14553
"tropical",5,0.14553
"Mayflower",5,0.14553
"Dunst",5,0.14553
"truaillitheoirí",5,0.14553
"ceallaigh",5,0.14553
"truths",5,0.14553
"Durante",5,0.14553
"Dupont",5,0.14553
"Dunshaughlin",5,0.14553
"Caravats",5,0.14553
"Carabhat",5,0.14553
"ceand",5,0.14553
"trálaeireacht",5,0.14553
"Mbeki",5,0.14553
"tráthnóinín",5,0.14553
"tréan-iarrachtaí",5,0.14553
"tréadaíocht",5,0.14553
"ceannaightheacha",5,0.14553
"tréartha",5,0.14553
"tréidliachta",5,0.14553
"tréatúr",5,0.14553
"ceannasacht",5,0.14553
"ceannairceoirí",5,0.14553
"ceannaibh",5,0.14553
"Durex",5,0.14553
"tréigbheála",5,0.14553
"tríliopaigh",5,0.14553
"trí-",5,0.14553
"tríochad",5,0.14553
"ceannlá",5,0.14553
"Durrow",5,0.14553
"trípháirteach",5,0.14553
"tríoth",5,0.14553
"tríos",5,0.14553
"McCarter",5,0.14553
"McCart",5,0.14553
"Duror",5,0.14553
"Career",5,0.14553
"tsanscrait",5,0.14553
"tsamhra",5,0.14553
"tseachtaine",5,0.14553
"tsealgán",5,0.14553
"tseal",5,0.14553
"tseachrán",5,0.14553
"tsaorsaigh",5,0.14553
"tsaile",5,0.14553
"tsean-shaoil",5,0.14553
"tsean-Scoil",5,0.14553
"tseasúir",5,0.14553
"tsearróg",5,0.14553
"cearnaire",5,0.14553
"McCluskey",5,0.14553
"tseonstanaigh",5,0.14553
"tseoirsia",5,0.14553
"tsiosmaid",5,0.14553
"tsionad",5,0.14553
"tsiolúraigh",5,0.14553
"ceatadán",5,0.14553
"tslovaic",5,0.14553
"tsliotharnach",5,0.14553
"tsoc",5,0.14553
"ceathairchosach",5,0.14553
"McCrum",5,0.14553
"Dyfed",5,0.14553
"Carduelis",5,0.14553
"Beiní",5,0.14553
"tsrátha",5,0.14553
"tsreachailt",5,0.14553
"tsomáile",5,0.14553
"tsualannaigh",5,0.14553
"ceilpeanna",5,0.14553
"McDermot",5,0.14553
"tsín",5,0.14553
"ceirdne",5,0.14553
"tsóchaí",5,0.14553
"ceirneoir",5,0.14553
"ttigh",5,0.14553
"ceirneoirí",5,0.14553
"ceirisín",5,0.14553
"McDonaghs",5,0.14553
"McCurtain",5,0.14553
"tuafás",5,0.14553
"tuairgint",5,0.14553
"ttuga",5,0.14553
"ceisni",5,0.14553
"tuairnín",5,0.14553
"ceistitheach",5,0.14553
"ceirtleán",5,0.14553
"tuarthóir",5,0.14553
"center",5,0.14553
"census",5,0.14553
"celistica",5,0.14553
"McGarrity",5,0.14553
"Dáith",5,0.14553
"Dáirbe",5,0.14553
"tugadar",5,0.14553
"tud",5,0.14553
"tugthacht",5,0.14553
"cents",5,0.14553
"ceolaire",5,0.14553
"tuilsolas",5,0.14553
"McGinn",5,0.14553
"McGillion",5,0.14553
"tuinníní",5,0.14553
"chabaire",5,0.14553
"ceártain",5,0.14553
"McGennis",5,0.14553
"chadhlach",5,0.14553
"turasoirí",5,0.14553
"turgbháil",5,0.14553
"turasoireachta",5,0.14553
"chach",5,0.14553
"turtóg",5,0.14553
"chailpís",5,0.14553
"táibhleach",5,0.14553
"McIlroy",5,0.14553
"McGrory",5,0.14553
"Dásoin",5,0.14553
"Dáibhíoch",5,0.14553
"táisiún",5,0.14553
"táirse",5,0.14553
"táirchéimni",5,0.14553
"táscúla",5,0.14553
"tárlúint",5,0.14553
"táthas",5,0.14553
"challenged",5,0.14553
"chaitiliceach",5,0.14553
"chaith-eamh",5,0.14553
"téasc",5,0.14553
"téamacha",5,0.14553
"téimís",5,0.14553
"chanáireacha",5,0.14553
"chant",5,0.14553
"chansons",5,0.14553
"tínn",5,0.14553
"chaolaigeantacht",5,0.14553
"tíopaí",5,0.14553
"tírdreach",5,0.14553
"típí",5,0.14553
"chapel",5,0.14553
"McLaverty",5,0.14553
"McLaren",5,0.14553
"Déirigh",5,0.14553
"tógaidh",5,0.14553
"títhear",5,0.14553
"tóithín",5,0.14553
"charactéir",5,0.14553
"tóithíní",5,0.14553
"chartúr",5,0.14553
"tóstáil",5,0.14553
"chascairt",5,0.14553
"charrannaí",5,0.14553
"McNiven",5,0.14553
"uadha",5,0.14553
"uachtárán",5,0.14553
"uach-tarán",5,0.14553
"uair-",5,0.14553
"cheannsaigh",5,0.14553
"cheannaightheacha",5,0.14553
"McRobert",5,0.14553
"Dírdhochar",5,0.14553
"Déanfair",5,0.14553
"Carlsberg",5,0.14553
"Al-Qaeda",5,0.14553
"Akseli",5,0.14553
"uathoibreach",5,0.14553
"uathub",5,0.14553
"uath",5,0.14553
"uasthréimhse",5,0.14553
"cheiliúraí",5,0.14553
"cheig",5,0.14553
"checchinato",5,0.14553
"udar",5,0.14553
"uil",5,0.14553
"uilechuimsithí",5,0.14553
"chiallaíonns",5,0.14553
"cheártan",5,0.14553
"Meadow",5,0.14553
"Meach",5,0.14553
"uimh",5,0.14553
"chiaroscuro",5,0.14553
"chiefs",5,0.14553
"chid",5,0.14553
"chiarnán",5,0.14553
"childhood",5,0.14553
"Mealy",5,0.14553
"uisceshaothraithe",5,0.14553
"chineíl",5,0.14553
"ullmhuchán",5,0.14553
"chinneamhaint",5,0.14553
"Meanbhchuileag",5,0.14553
"Dúbha",5,0.14553
"Dóráin",5,0.14553
"ulán",5,0.14553
"ullumh",5,0.14553
"umhlóid",5,0.14553
"chiton",5,0.14553
"chithear",5,0.14553
"chiotachán",5,0.14553
"unionists",5,0.14553
"unionist",5,0.14553
"ungthach",5,0.14553
"chlaíochaí",5,0.14553
"upergrass",5,0.14553
"Medb",5,0.14553
"Mechanics",5,0.14553
"Meat",5,0.14553
"urf",5,0.14553
"urchall",5,0.14553
"chloidheamh",5,0.14553
"chluthairt",5,0.14553
"chluinstean",5,0.14553
"chluinsbheáilt",5,0.14553
"Carse",5,0.14553
"chlóraifill",5,0.14553
"chneadaíl",5,0.14553
"Meenan",5,0.14553
"Mee",5,0.14553
"uspóirí",5,0.14553
"chnuimh",5,0.14553
"chnuasachtaí",5,0.14553
"uthairt",5,0.14553
"utter",5,0.14553
"utam",5,0.14553
"Meetings",5,0.14553
"Dúghlaise",5,0.14553
"Dúgain",5,0.14553
"Cars",5,0.14553
"Belles",5,0.14553
"Belleek",5,0.14553
"vacsainiúnna",5,0.14553
"uíochán",5,0.14553
"vacuum",5,0.14553
"chohóirt",5,0.14553
"Megadeth",5,0.14553
"Mefisto",5,0.14553
"varied",5,0.14553
"choigeartóir",5,0.14553
"vas",5,0.14553
"vatacáineach",5,0.14553
"vatacht",5,0.14553
"Mehigan",5,0.14553
"Mehaffey",5,0.14553
"Dúghlás",5,0.14553
"vaticano",5,0.14553
"Mei",5,0.14553
"vel",5,0.14553
"choimpléacs",5,0.14553
"Dúine",5,0.14553
"Carsuel",5,0.14553
"Meiji",5,0.14553
"choinlíocht",5,0.14553
"Meig",5,0.14553
"vine",5,0.14553
"choinnlíní",5,0.14553
"Dúlaigh",5,0.14553
"Dúlachain",5,0.14553
"visitation",5,0.14553
"vivas",5,0.14553
"visiting",5,0.14553
"choiri",5,0.14553
"vobiscum",5,0.14553
"vivid",5,0.14553
"volunteer",5,0.14553
"choistealach",5,0.14553
"Melampo",5,0.14553
"Mela",5,0.14553
"Cartagaigh",5,0.14553
"Carstairs",5,0.14553
"votáil",5,0.14553
"voted",5,0.14553
"votaí",5,0.14553
"vriend",5,0.14553
"chom-",5,0.14553
"véire",5,0.14553
"chomhaoiseach",5,0.14553
"chomhaltha",5,0.14553
"Melia",5,0.14553
"Melchior",5,0.14553
"vóltas",5,0.14553
"yetticíní",5,0.14553
"chomharsanaigh",5,0.14553
"chomhardaithe",5,0.14553
"Dúramair",5,0.14553
"Árdrí",5,0.14553
"Árdfheis",5,0.14553
"Áiriseacht",5,0.14553
"Árdú",5,0.14553
"Áthcliath",5,0.14553
"chomhlántacht",5,0.14553
"chomhmaith",5,0.14553
"Memoire",5,0.14553
"Memel",5,0.14553
"Melvin",5,0.14553
"chomhordnóir",5,0.14553
"Éidean",5,0.14553
"Éilips",5,0.14553
"chomhthreormhara",5,0.14553
"chomhthalán",5,0.14553
"chomhramh",5,0.14553
"Mena",5,0.14553
"Cartlanna",5,0.14553
"Carthage",5,0.14553
"Bellingham",5,0.14553
"Bellay",5,0.14553
"Éineacháin",5,0.14553
"chompórd",5,0.14553
"Éirionn",5,0.14553
"Éireod",5,0.14553
"Érenn",5,0.14553
"Élysée",5,0.14553
"chomóras",5,0.14553
"Mendelssohn",5,0.14553
"Étain",5,0.14553
"chonarthacha",5,0.14553
"Menswear",5,0.14553
"Mens",5,0.14553
"Menocal",5,0.14553
"Mendel",5,0.14553
"Ó-hó",5,0.14553
"chonnachtach",5,0.14553
"chonn",5,0.14553
"Ólaf",5,0.14553
"choraibh",5,0.14553
"Mercs",5,0.14553
"Eabhracha",5,0.14553
"Úraid",5,0.14553
"Údaruithe",5,0.14553
"chosamhail",5,0.14553
"ábh",5,0.14553
"chostóg",5,0.14553
"Mernagh",5,0.14553
"Merlot",5,0.14553
"Eabha",5,0.14553
"ER",5,0.14553
"ách",5,0.14553
"chraobhchomórtais",5,0.14553
"chothromúil",5,0.14553
"áireamh--",5,0.14553
"áiridhe",5,0.14553
"chreidbheáilt",5,0.14553
"Message",5,0.14553
"Mervue",5,0.14553
"Eachros",5,0.14553
"áit-",5,0.14553
"áitreabhóirí",5,0.14553
"chroimbéal",5,0.14553
"chroicean",5,0.14553
"Messiah",5,0.14553
"chroí-",5,0.14553
"chrunca",5,0.14553
"Meyler",5,0.14553
"Eadain",5,0.14553
"Eachréidh",5,0.14553
"Eachdhroma",5,0.14553
"Bench",5,0.14553
"áá",5,0.14553
"áthraigh",5,0.14553
"át",5,0.14553
"éabann",5,0.14553
"chráitéir",5,0.14553
"Meán-",5,0.14553
"éadoimhneacht",5,0.14553
"Eadbháird",5,0.14553
"chua",5,0.14553
"chrú-ialtóg",5,0.14553
"éagaoint",5,0.14553
"éagaigh",5,0.14553
"Meánmhéide",5,0.14553
"éagsúlachas",5,0.14553
"Meánteocht",5,0.14553
"Eadon",5,0.14553
"Eadargóil",5,0.14553
"éagus",5,0.14553
"éaluigh",5,0.14553
"chuffed",5,0.14553
"chubhair",5,0.14553
"éanaibh",5,0.14553
"chuibhi",5,0.14553
"éanúla",5,0.14553
"éanlann",5,0.14553
"éarthacht",5,0.14553
"éarn",5,0.14553
"chuide",5,0.14553
"Mhadaigh",5,0.14553
"Mhacintosh",5,0.14553
"éasúr",5,0.14553
"éideafóin",5,0.14553
"chuirimís",5,0.14553
"chuigh",5,0.14553
"Mhacadáin",5,0.14553
"Caspar",5,0.14553
"chuiseanna",5,0.14553
"chuiscreach",5,0.14553
"éigneoir",5,0.14553
"chuirthear",5,0.14553
"chumarsáideacha",5,0.14553
"chumar-sáide",5,0.14553
"éipéal",5,0.14553
"chumhd",5,0.14553
"chumhain",5,0.14553
"Mhairghréide",5,0.14553
"éireod",5,0.14553
"Ealaion",5,0.14553
"Beni",5,0.14553
"éiscíní",5,0.14553
"éis-",5,0.14553
"éisiúint",5,0.14553
"éiríonns",5,0.14553
"chur-síos",5,0.14553
"chur-i-",5,0.14553
"ésin",5,0.14553
"íléadach",5,0.14553
"ídéal",5,0.14553
"Mhanaise",5,0.14553
"Casting",5,0.14553
"ímíodar",5,0.14553
"cháili-",5,0.14553
"cháigh",5,0.14553
"cháfraith",5,0.14553
"íodáil",5,0.14553
"Castlegar",5,0.14553
"Bening",5,0.14553
"Bengal",5,0.14553
"Benetton",5,0.14553
"Appel",5,0.14553
"Apaill",5,0.14553
"íonú",5,0.14553
"chéadfhoilsi",5,0.14553
"chéadfaíocha",5,0.14553
"chéadaibh",5,0.14553
"íoslucht",5,0.14553
"íosghrád",5,0.14553
"ísl",5,0.14553
"chéadthug",5,0.14553
"chéad-",5,0.14553
"óbair",5,0.14553
"óch",5,0.14553
"óagus",5,0.14553
"ógaí",5,0.14553
"chíd",5,0.14553
"ógchiontóir",5,0.14553
"chífead",5,0.14553
"chídeog",5,0.14553
"chímis",5,0.14553
"Mharco",5,0.14553
"Mhar",5,0.14553
"Eanóis",5,0.14553
"ónán",5,0.14553
"chítí",5,0.14553
"órnáidí",5,0.14553
"chóirétseapáin",5,0.14553
"chísanna",5,0.14553
"óstachas",5,0.14553
"óst",5,0.14553
"óstas",5,0.14553
"chómheasún",5,0.14553
"chómhartha",5,0.14553
"chómhairimh",5,0.14553
"úcráineach",5,0.14553
"chónascaire",5,0.14553
"chómhair",5,0.14553
"Mhater",5,0.14553
"Eanaigh-",5,0.14553
"úl",5,0.14553
"úiréadra",5,0.14553
"úmhla",5,0.14553
"úmaigh",5,0.14553
"úrcheaptha",5,0.14553
"únéir",5,0.14553
"chúlfhuinneog",5,0.14553
"Mheailic",5,0.14553
"chúmsa",5,0.14553
"chúlshráid",5,0.14553
"úsáíd",5,0.14553
"úsáideach",5,0.14553
"útóipe",5,0.14553
"chúthaileach",5,0.14553
"Mheirceánaigh",5,0.14553
"Mheanmain",5,0.14553
"Catar",5,0.14553
"ciallmhaireacht",5,0.14553
"ciachán",5,0.14553
"cibésonraí",5,0.14553
"Easboig",5,0.14553
"Catechism",5,0.14553
"Cataract",5,0.14553
"Catalonia",5,0.14553
"Benito",5,0.14553
"cidh",5,0.14553
"cillscannán",5,0.14553
"Mhi",5,0.14553
"cineálcheadaithe",5,0.14553
"Easpáine",5,0.14553
"cinidh",5,0.14553
"ciniciúlachta",5,0.14553
"cinnibh",5,0.14553
"cinneamhna",5,0.14553
"Mhinigh",5,0.14553
"Mhilano",5,0.14553
"ciníochaí",5,0.14553
"ciocáidí",5,0.14553
"Mhiseóige",5,0.14553
"Mhios",5,0.14553
"Mhinistreacht",5,0.14553
"Eastenders",5,0.14553
"Bentwich",5,0.14553
"ciondargairdín",5,0.14553
"Mhistéal",5,0.14553
"Mhocú",5,0.14553
"Eathach",5,0.14553
"Mhons",5,0.14553
"Mhonagail",5,0.14553
"cistiúchán",5,0.14553
"Mhoriarty",5,0.14553
"Mhorag",5,0.14553
"Eau",5,0.14553
"Beothaigh",5,0.14553
"Arab",5,0.14553
"Aquino",5,0.14553
"ciúinis",5,0.14553
"clachan",5,0.14553
"clabhsán",5,0.14553
"ciún",5,0.14553
"Mhossie",5,0.14553
"Mhuinseó",5,0.14553
"claganna",5,0.14553
"Mhuinice",5,0.14553
"Mhuirtheimhne",5,0.14553
"Eco-lipéad",5,0.14553
"Ecclesia",5,0.14553
"clarsach",5,0.14553
"Mháighistir",5,0.14553
"Eddery",5,0.14553
"Edda",5,0.14553
"cleasannaí",5,0.14553
"cleireach",5,0.14553
"cleathacha",5,0.14553
"cleath",5,0.14553
"Mháiréid",5,0.14553
"clementine",5,0.14553
"Mháthara",5,0.14553
"Edgeware",5,0.14553
"Economist",5,0.14553
"Catriona",5,0.14553
"cliaraí",5,0.14553
"Mhílic",5,0.14553
"clinne",5,0.14553
"Editor",5,0.14553
"cliúsaí",5,0.14553
"clocca",5,0.14553
"Mhórshráid",5,0.14553
"clogra",5,0.14553
"Educate",5,0.14553
"Cavlan",5,0.14553
"Ee",5,0.14553
"cluich",5,0.14553
"Berkshire",5,0.14553
"Microtus",5,0.14553
"Micra",5,0.14553
"Eid",5,0.14553
"clás",5,0.14553
"clárachaí",5,0.14553
"cléata",5,0.14553
"clástrafóibeach",5,0.14553
"clástrafóibe",5,0.14553
"Middlesex",5,0.14553
"Berlingo",5,0.14553
"Berkowitz",5,0.14553
"Berkley",5,0.14553
"Berchmans",5,0.14553
"Apulia",5,0.14553
"Apac",5,0.14553
"Aerlíne",5,0.14553
"-gán",5,0.14553
"-gan",5,0.14553
"Might",5,0.14553
"clóscríbhinn",5,0.14553
"Mies",5,0.14553
"Midland",5,0.14553
"clúdaí",5,0.14553
"clúmhail",5,0.14553
"cnagaide",5,0.14553
"Milchú",5,0.14553
"Milbank",5,0.14553
"cnaganna",5,0.14553
"Miko",5,0.14553
"Eileán",5,0.14553
"cneamhaire",5,0.14553
"Millen",5,0.14553
"Eimhir",5,0.14553
"Milltown",5,0.14553
"Milne",5,0.14553
"Einne",5,0.14553
"coastguards",5,0.14553
"co-oibri",5,0.14553
"cocól",5,0.14553
"cnúthacha",5,0.14553
"Bern",5,0.14553
"Bermondsey",5,0.14553
"Berman",5,0.14553
"codaisíl",5,0.14553
"coeur",5,0.14553
"Minihan",5,0.14553
"Mindy",5,0.14553
"cognaíocha",5,0.14553
"cogarnaíle",5,0.14553
"Eirtricity",5,0.14553
"coifín",5,0.14553
"coigeartóirí",5,0.14553
"Mionscrúdú",5,0.14553
"coigríochach",5,0.14553
"coigistíocht",5,0.14553
"Eitigh",5,0.14553
"Eirigh",5,0.14553
"coilíneachais",5,0.14553
"coilmíní",5,0.14553
"Elections",5,0.14553
"coimic",5,0.14553
"coimisineirí",5,0.14553
"coimisineiri",5,0.14553
"coimisinéiri",5,0.14553
"Misty",5,0.14553
"Elements",5,0.14553
"coimisnéirí",5,0.14553
"Mit",5,0.14553
"Elevation",5,0.14553
"Electronics",5,0.14553
"Cearúl",5,0.14553
"Berneice",5,0.14553
"Aranda",5,0.14553
"Mitty",5,0.14553
"coinfearaidh",5,0.14553
"Elgin",5,0.14553
"Mobutu",5,0.14553
"Eliade",5,0.14553
"Elgar",5,0.14553
"coinsiasacht",5,0.14553
"Modelo",5,0.14553
"Elina",5,0.14553
"coirdínise",5,0.14553
"Moicléir",5,0.14553
"Ceberio",5,0.14553
"Cebeiro",5,0.14553
"coiseachd",5,0.14553
"Mold",5,0.14553
"Mollie",5,0.14553
"Molino",5,0.14553
"Molina",5,0.14553
"Ceilleachair",5,0.14553
"colaisteide",5,0.14553
"cola",5,0.14553
"Mombasa",5,0.14553
"collections",5,0.14553
"collachaí",5,0.14553
"Elmwood",5,0.14553
"Bersicker",5,0.14553
"Bernstein",5,0.14553
"columbánaigh",5,0.14553
"columbine",5,0.14553
"columcille",5,0.14553
"Monkey",5,0.14553
"Elysium",5,0.14553
"comhairleachta",5,0.14553
"comhairíocht",5,0.14553
"Emigrant",5,0.14553
"Eluard",5,0.14553
"comharsantacht",5,0.14553
"comhbhrúiteoir",5,0.14553
"comhcheilgí",5,0.14553
"Monza",5,0.14553
"Monuments",5,0.14553
"Montoya",5,0.14553
"comhchruinneán",5,0.14553
"comhchonarthacha",5,0.14553
"Moonshine",5,0.14553
"Moral",5,0.14553
"comhfhreagróir",5,0.14553
"Enchanted",5,0.14553
"Emmylou",5,0.14553
"Emmeloord",5,0.14553
"Bertillon",5,0.14553
"Bernier",5,0.14553
"Aramara",5,0.14553
"comhionannacha",5,0.14553
"comhionann",5,0.14553
"comhlach-",5,0.14553
"comhléiriúchán",5,0.14553
"Mormanaigh",5,0.14553
"Morisot",5,0.14553
"Morc",5,0.14553
"Moroney",5,0.14553
"Mortell",5,0.14553
"Morrisson",5,0.14553
"Moro",5,0.14553
"Enfield",5,0.14553
"comhshásra",5,0.14553
"Mosco",5,0.14553
"commerce",5,0.14553
"Mosque",5,0.14553
"Enlightenment",5,0.14553
"compar",5,0.14553
"comp",5,0.14553
"Mottiar",5,0.14553
"Enough",5,0.14553
"comparadóirí",5,0.14553
"complicated",5,0.14553
"Mountgarret",5,0.14553
"Eno",5,0.14553
"Eniff",5,0.14553
"Centres",5,0.14553
"compulsion",5,0.14553
"Mouth",5,0.14553
"compórd",5,0.14553
"Mounties",5,0.14553
"concepts",5,0.14553
"conacthas",5,0.14553
"concerts",5,0.14553
"Mudd",5,0.14553
"Mucnó",5,0.14553
"Moynes",5,0.14553
"Ceti",5,0.14553
"confidential",5,0.14553
"congestus",5,0.14553
"confirmed",5,0.14553
"conerrigal",5,0.14553
"congregation",5,0.14553
"conic",5,0.14553
"conghaíl",5,0.14553
"Muille",5,0.14553
"Muhammed",5,0.14553
"construct",5,0.14553
"constitutions",5,0.14553
"constituencies",5,0.14553
"consists",5,0.14553
"consisting",5,0.14553
"Eochairsciath",5,0.14553
"Betula",5,0.14553
"Betts",5,0.14553
"contabhairt",5,0.14553
"Muireán",5,0.14553
"contras",5,0.14553
"controlled",5,0.14553
"Muirshaothrú",5,0.14553
"Muirríoch",5,0.14553
"Ephesus",5,0.14553
"Eorpú",5,0.14553
"convincing",5,0.14553
"conventional",5,0.14553
"coolies",5,0.14553
"Mulgrave",5,0.14553
"Chailíf",5,0.14553
"Mulkerns",5,0.14553
"Erenn",5,0.14553
"corpardha",5,0.14553
"Erie",5,0.14553
"Erected",5,0.14553
"corporáidí",5,0.14553
"Mumbi",5,0.14553
"Mumia",5,0.14553
"Mulvihill",5,0.14553
"Chaipeatóil",5,0.14553
"Chaimbeul",5,0.14553
"Chafé",5,0.14553
"cosmhuil",5,0.14553
"cosgarach",5,0.14553
"Munwar",5,0.14553
"cothromaí",5,0.14553
"Murchúch",5,0.14553
"Escrivá",5,0.14553
"crabadán",5,0.14553
"Murtaugh",5,0.14553
"Murrough",5,0.14553
"Muscat",5,0.14553
"Esparanto",5,0.14553
"Esmonde",5,0.14553
"Esmond",5,0.14553
"Musette",5,0.14553
"crannlaoch",5,0.14553
"Muses",5,0.14553
"Essay",5,0.14553
"Chaithnia",5,0.14553
"Chaistílis",5,0.14553
"Mustela",5,0.14553
"Mustafa",5,0.14553
